date,ticker,flow_usd
2026-02-24,BITB,3500000.0
2026-02-24,BTCO,0.0
2026-02-24,EZBC,0.0
2026-02-24,BRRR,0.0
2026-02-24,BTCW,0.0
2026-02-24,GBTC,0.0
2026-02-25,IBIT,297400000.0
2026-02-25,GBTC,102500000.0
2026-02-25,BITB,39400000.0
2026-02-25,FBTC,30100000.0
2026-02-25,HODL,15600000.0
2026-02-25,ARKB,2300000.0
2026-02-25,BTCO,0.0
2026-02-25,EZBC,0.0
2026-02-25,BRRR,0.0
2026-02-25,BTCW,0.0
2026-02-26,IBIT,275800000.0
2026-02-26,BITB,69000000.0
2026-02-26,FBTC,-51500000.0
2026-02-26,ARKB,-44900000.0
2026-02-26,BTCO,0.0
2026-02-26,EZBC,0.0
2026-02-26,BRRR,0.0
2026-02-26,HODL,0.0
2026-02-26,BTCW,0.0
2026-02-26,GBTC,0.0
2026-02-27,IBIT,-32700000.000000004
2026-02-27,BTCO,3300000.0
2026-02-27,EZBC,1900000.0
2026-02-27,FBTC,0.0
2026-02-27,BITB,0.0
2026-02-27,ARKB,0.0
2026-02-27,BRRR,0.0
2026-02-27,HODL,0.0
2026-02-27,BTCW,0.0
2026-02-27,GBTC,0.0
2026-03-02,IBIT,263200000.0
2026-03-02,FBTC,94800000.0
2026-03-02,BITB,36400000.0
2026-03-02,HODL,19500000.0
2026-03-02,EZBC,14000000.0
2026-03-02,BTCO,6200000.0
2026-03-02,ARKB,5700000.0
2026-03-02,BRRR,0.0
2026-03-02,BTCW,0.0
2026-03-02,GBTC,0.0
2026-03-03,IBIT,322400000.0
2026-03-03,FBTC,-89300000.0
2026-03-03,GBTC,-28200000.0
2026-03-03,BRRR,11600000.0
2026-03-03,BTCW,8700000.0
2026-03-03,BITB,0.0
2026-03-03,ARKB,0.0
2026-03-03,BTCO,0.0
2026-03-03,EZBC,0.0
2026-03-03,HODL,0.0
2026-03-04,IBIT,306600000.0
2026-03-04,FBTC,48000000.0
2026-03-04,GBTC,21700000.0
2026-03-04,ARKB,14600000.0
2026-03-04,BTCO,9100000.0
2026-03-04,EZBC,8500000.0
2026-03-04,BITB,8000000.0
2026-03-04,BTCW,7800000.0
2026-03-04,HODL,5200000.0
2026-03-04,BRRR,0.0
2026-03-05,IBIT,-88700000.0
2026-03-05,FBTC,-48000000.0
2026-03-05,BITB,-46400000.0
2026-03-05,ARKB,-22700000.0
2026-03-05,GBTC,-18900000.0
2026-03-05,HODL,-8600000.0
2026-03-05,BRRR,5400000.0
2026-03-05,BTCO,0.0
2026-03-05,EZBC,0.0
2026-03-05,BTCW,0.0
2026-03-06,FBTC,-158500000.0
2026-03-06,IBIT,-143500000.0
2026-03-06,BITB,-22200000.0
2026-03-06,GBTC,-9600000.0
2026-03-06,HODL,-5800000.0
2026-03-06,ARKB,-4500000.0
2026-03-06,BTCO,0.0
2026-03-06,EZBC,0.0
2026-03-06,BRRR,0.0
2026-03-06,BTCW,0.0
2026-03-09,IBIT,109300000.0
2026-03-09,FBTC,60100000.0
2026-03-09,HODL,4900000.0
2026-03-09,BITB,-4500000.0
2026-03-09,ARKB,-2700000.0
2026-03-09,BTCO,0.0
2026-03-09,EZBC,0.0
2026-03-09,BRRR,0.0
2026-03-09,BTCW,0.0
2026-03-09,GBTC,0.0
2026-03-10,IBIT,185800000.0
2026-03-10,FBTC,33500000.0
2026-03-10,BITB,16399999.999999998
2026-03-10,HODL,5900000.0
2026-03-10,ARKB,4099999.9999999995
2026-03-10,BRRR,-4099999.9999999995
2026-03-10,BTCO,0.0
2026-03-10,EZBC,0.0
2026-03-10,BTCW,0.0
2026-03-10,GBTC,0.0
2026-03-11,IBIT,115300000.0
2026-03-11,GBTC,-16000000.0
2026-03-11,FBTC,15400000.0
2026-03-11,HODL,-4500000.0
2026-03-11,BITB,0.0
2026-03-11,ARKB,0.0
2026-03-11,BTCO,0.0
2026-03-11,EZBC,0.0
2026-03-11,BRRR,0.0
2026-03-11,BTCW,0.0
2026-03-12,IBIT,46100000.0
2026-03-12,FBTC,15300000.0
2026-03-12,GBTC,-9900000.0
2026-03-12,BITB,-5700000.0
2026-03-12,ARKB,3000000.0
2026-03-12,BTCO,0.0
2026-03-12,EZBC,0.0
2026-03-12,BRRR,0.0
2026-03-12,HODL,0.0
2026-03-12,BTCW,0.0
2026-03-13,IBIT,143600000.0
2026-03-13,FBTC,23200000.0
2026-03-13,HODL,8100000.0
2026-03-13,BITB,3100000.0
2026-03-13,ARKB,2400000.0
2026-03-13,BTCO,0.0
2026-03-13,EZBC,0.0
2026-03-13,BRRR,0.0
2026-03-13,BTCW,0.0
2026-03-13,GBTC,0.0
2026-03-16,IBIT,139400000.0
2026-03-16,FBTC,64500000.0
2026-03-16,HODL,-6300000.0
2026-03-16,ARKB,-3100000.0
2026-03-16,BITB,2800000.0
2026-03-16,EZBC,2100000.0
2026-03-16,BTCO,0.0
2026-03-16,BRRR,0.0
2026-03-16,BTCW,0.0
2026-03-16,GBTC,0.0
2026-03-17,IBIT,169300000.0
2026-03-17,FBTC,24400000.0
2026-03-17,HODL,3200000.0
2026-03-17,ARKB,2500000.0
2026-03-17,BITB,0.0
2026-03-17,BTCO,0.0
2026-03-17,EZBC,0.0
2026-03-17,BRRR,0.0
2026-03-17,BTCW,0.0
2026-03-17,GBTC,0.0
2026-03-18,FBTC,-103800000.0
2026-03-18,IBIT,-33900000.0
2026-03-18,GBTC,-18800000.0
2026-03-18,BITB,-7000000.0
2026-03-18,ARKB,0.0
2026-03-18,BTCO,0.0
2026-03-18,EZBC,0.0
2026-03-18,BRRR,0.0
2026-03-18,HODL,0.0
2026-03-18,BTCW,0.0
